previously_created,backers,start_date,title,pledged,comments,goal,end_date
8,2498,,Cytosis: A Cell Biology Board Game,134632.0,295,14500.0,2017/04/14
4,21,,"Colour Chess + Lure - Two games, one colourful board!",556.0,0,3500.0,2017/04/14
0,77,,King Eddy Board & Beer Game,2013.0,4,2000.0,2017/04/21
0,48,,Not My President - The Board Game,2136.0,0,5000.0,2017/04/13
0,5,,BATTLE ROOM,240.0,0,16000.0,2017/04/15
0,115,,"Play! Gaming Cafe, York",5240.0,4,11000.0,2017/04/18
0,3,,"Shopping Race, a board game for all the family",13.0,1,16500.0,2017/04/02
5,6,,Annals of Game Night: Catalog every game night!,108.0,4,100.0,2017/03/31
0,65,,"Yeti Mountain - The Three-Dimensional, Adventure Board Game",4964.0,58,28500.0,2017/04/16
2,6,,Archon Classic | Board Game,515.0,9,1000.0,2017/03/30
2,40,,Hardwood Storage Solutions / Deck Boxes / D&D / Board Games,4509.0,8,3000.0,2017/03/31
0,22,,Capitalist Kitten Board Game,1807.0,1,30000.0,2017/03/31
0,406,,"Roller Coaster Challenge: Half Logic Game, Half Building Set",18935.0,41,10000.0,2017/03/31
0,164,,Basket of Deplorables - The Board Game!,10729.0,3,22000.0,2017/04/05
0,1214,,Stop Thief! - The Classic 1979 Board Game Restored!,48002.84,131,25000.0,2017/04/11
0,118,,Toucan Play that Game - Season 2,2217.0,25,1500.0,2017/04/06
2,298,,Wu Wei: Journey of the Changing Path,17228.0,36,24000.0,2017/04/24
2,2760,,The Grimm Forest,142102.84,770,35000.0,2017/04/14
2,29,,The Rollin' Inn Board Game Cafe,1270.0,7,10000.0,2017/03/31
0,189,,The Right of Kings - Medieval Playing Cards Set & Board Game,7328.0,28,11000.0,2017/04/10
start_date,previously_created,comments,end_date,title,pledged,backers,goal
,8,295,2017/04/14,Cytosis: A Cell Biology Board Game,134632.0,2498,14500.0
,0,4,2017/04/21,King Eddy Board & Beer Game,2013.0,77,2000.0
,4,0,2017/04/14,"Colour Chess + Lure - Two games, one colourful board!",556.0,21,3500.0
,0,0,2017/04/15,BATTLE ROOM,240.0,5,16000.0
,0,4,2017/04/18,"Play! Gaming Cafe, York",5240.0,115,11000.0
,5,4,2017/03/31,Annals of Game Night: Catalog every game night!,108.0,6,100.0
,0,28,2017/04/10,The Right of Kings - Medieval Playing Cards Set & Board Game,7328.0,189,11000.0
,0,0,2017/04/13,Not My President - The Board Game,2136.0,48,5000.0
,0,1,2017/04/02,"Shopping Race, a board game for all the family",13.0,3,16500.0
,0,58,2017/04/16,"Yeti Mountain - The Three-Dimensional, Adventure Board Game",4964.0,65,28500.0
,2,7,2017/03/31,The Rollin' Inn Board Game Cafe,1270.0,29,10000.0
,2,8,2017/03/31,Hardwood Storage Solutions / Deck Boxes / D&D / Board Games,4509.0,40,3000.0
,0,1,2017/03/31,Capitalist Kitten Board Game,1807.0,22,30000.0
,0,3,2017/04/05,Basket of Deplorables - The Board Game!,10729.0,164,22000.0
,2,9,2017/03/30,Archon Classic | Board Game,515.0,6,1000.0
,0,131,2017/04/11,Stop Thief! - The Classic 1979 Board Game Restored!,48002.84,1214,25000.0
,0,41,2017/03/31,"Roller Coaster Challenge: Half Logic Game, Half Building Set",18935.0,406,10000.0
,2,770,2017/04/14,The Grimm Forest,142151.84,2761,35000.0
,0,25,2017/04/06,Toucan Play that Game - Season 2,2217.0,118,1500.0
,2,36,2017/04/24,Wu Wei: Journey of the Changing Path,17228.0,298,24000.0
